edge_cursor,release_tag,release_committed_at,is_prerelease,engine_commit
MQ,v0.0.20-alpha,2015-12-07T18:57:00Z,true,
Mg,v0.0.6,2017-05-11T22:33:29Z,false,f99d3ef1083b9a126b64fab0c576647108c9a7eb
Mw,0.0.6,2017-05-11T22:33:29Z,false,f99d3ef1083b9a126b64fab0c576647108c9a7eb
NA,v0.0.7,2017-06-02T17:43:54Z,false,1f2aa075717169d6058ad97b3b5c2794a97a43d7
NQ,0.0.7,2017-06-02T17:43:54Z,false,1f2aa075717169d6058ad97b3b5c2794a97a43d7
Ng,v0.0.8,2017-06-14T06:22:58Z,false,4f5d6fab1187c1f5749a52ab5b4277d1bd51ee79
Nw,0.0.8,2017-06-14T06:22:58Z,false,4f5d6fab1187c1f5749a52ab5b4277d1bd51ee79
OA,v0.0.9,2017-06-15T00:27:08Z,false,18fdfb86bb3876fcbb4e1d25e5b2aad0c5cd669f
OQ,0.0.9,2017-06-15T00:27:08Z,false,18fdfb86bb3876fcbb4e1d25e5b2aad0c5cd669f
MTA,v0.0.10,2017-06-16T19:58:23Z,false,784e9756720f7f6daa15c95ba3df6215bb54783f
MTE,0.0.10,2017-06-16T19:58:23Z,false,784e9756720f7f6daa15c95ba3df6215bb54783f
MTI,v0.0.11,2017-06-21T22:09:10Z,false,b0dee695ecb9ea2438f4d74afdca45839858c311
MTM,0.0.11,2017-06-21T22:09:10Z,false,b0dee695ecb9ea2438f4d74afdca45839858c311
MTQ,v0.0.12,2017-08-01T21:50:29Z,false,f2af347363ddb5b4ed9598b285d4f5ce000331d5
MTU,0.0.12,2017-08-01T21:50:29Z,false,f2af347363ddb5b4ed9598b285d4f5ce000331d5
MTY,v0.0.13,2017-08-12T05:01:40Z,false,fef7d827d6e22830ee6c88e8260f118a6b3fbcd9
MTc,0.0.13,2017-08-12T05:01:40Z,false,fef7d827d6e22830ee6c88e8260f118a6b3fbcd9
MTg,v0.0.14,2017-08-31T22:54:45Z,false,f9e00a7c726cb60e9cf4d02ef29bf494bf6cbe29
MTk,0.0.14,2017-08-31T22:54:45Z,false,f9e00a7c726cb60e9cf4d02ef29bf494bf6cbe29
MjA,v0.0.15,2017-09-12T21:01:51Z,false,31d03de019794a4b0e3c98c04cf7be501fb962fb
MjE,0.0.15,2017-09-12T21:01:51Z,false,31d03de019794a4b0e3c98c04cf7be501fb962fb
MjI,v0.0.16,2017-10-10T23:45:11Z,false,2a84f18c795d24ba95baed360fcb58b3dc66d661
MjM,0.0.16,2017-10-10T23:45:11Z,false,2a84f18c795d24ba95baed360fcb58b3dc66d661
MjQ,v0.0.17,2017-10-17T22:42:40Z,false,7c4142808c700f939be5305067b94097894b3d11
MjU,0.0.17,2017-10-17T22:42:40Z,false,7c4142808c700f939be5305067b94097894b3d11
MjY,v0.0.18,2017-11-30T21:29:59Z,false,77d8acb9be65e6725c7c4292fe2e3b1159c0aeb9
Mjc,0.0.18,2017-11-30T21:29:59Z,false,77d8acb9be65e6725c7c4292fe2e3b1159c0aeb9
Mjg,v0.0.19,2017-12-06T00:12:55Z,false,b57fca02b5b5465b2c553952cccd2b595ace2b65
Mjk,0.0.19,2017-12-06T00:12:55Z,false,b57fca02b5b5465b2c553952cccd2b595ace2b65
MzA,v0.0.20,2017-12-12T17:50:14Z,false,edaecdc8b8098f20512c23745b9d0b135a8ee56d
MzE,0.0.20,2017-12-12T17:50:14Z,false,edaecdc8b8098f20512c23745b9d0b135a8ee56d
MzI,v0.0.21,2018-01-29T22:26:51Z,false,6921873c71e700235c0f68f0359be2332f93c8bc
MzM,0.0.21,2018-01-29T22:26:51Z,false,6921873c71e700235c0f68f0359be2332f93c8bc
MzQ,v0.0.22,2018-01-30T19:37:15Z,false,8f2d72b183fa996449d2a2252c497a64126b44c4
MzU,v0.0.23,2018-02-05T20:00:24Z,false,d5338ed14376f62b252078b1dcd742bd3b01a7da
MzY,v0.0.24,2018-02-07T18:26:55Z,false,9bc2efdf47b102e3c7cfe84bcfc17327f1a6d6ac
Mzc,v0.1.0,2018-02-09T20:21:43Z,false,337764e4edebdafad6685a4af81b84d456dac687
Mzg,v0.1.1,2018-02-13T22:40:03Z,false,f5a4a9378740c3d5996583a9ed1f7e28ff08ee85
Mzk,v0.1.2,2018-02-14T07:32:28Z,false,05c5f817eb731569ddaad6397ee9ce000d37f2f1
NDA,v0.1.3,2018-02-17T19:31:34Z,false,e5b72e5f87cae358b457b6c1cb55c4560ce3c46c
NDE,v0.1.4,2018-02-19T21:12:17Z,false,13cf22c284c24f81357aec6a89074a536efbf4d1
NDI,v0.1.5,2018-02-22T19:12:39Z,false,ead227f118077d1f2b57842a32abaf105b573b8a
NDM,v0.1.6,2018-02-24T02:35:40Z,false,ead227f118077d1f2b57842a32abaf105b573b8a
NDQ,v0.1.7,2018-02-27T04:11:11Z,false,ead227f118077d1f2b57842a32abaf105b573b8a
NDU,v0.1.8,2018-02-28T01:39:49Z,false,e133da723c603eb43c5bf03aeb27e79c06a50e0c
NDY,v0.1.9,2018-03-05T16:55:10Z,false,97b22348c8d5cba471418dc94f9e384e384e796f
NDc,v0.2.0,2018-03-05T22:27:57Z,false,a00f8e8bc0f3d08ec0c0ca24b01226441bcaf03a
NDg,v0.2.1,2018-03-08T23:01:37Z,false,24cf8ebd8621713a6936df783dad5019f52bc85e
NDk,v0.2.2,2018-03-13T19:42:29Z,false,e44cd55fc452ba5524147280c451fb3ace350ec4
NTA,v0.2.3,2018-03-13T20:20:13Z,false,e61bb9ac3a3fd789754e2e54220bcfc27076a857
NTE,v0.2.4,2018-03-20T18:30:06Z,false,6280adbfb1f9f63cdc6179b9b78634add1e4f2e3
NTI,v0.2.5,2018-03-28T19:07:12Z,false,dd6f46c485192f4506035088c9065b9f5dbba9ab
NTM,v0.2.6,2018-03-30T05:14:04Z,false,9af82c5a1a79ae02477db13e721c8365f31a4840
NTQ,v0.2.7,2018-04-02T00:35:05Z,false,c903c217a1a8206cdebdab1703b52ec6180edf37
NTU,v0.2.8,2018-04-02T20:53:20Z,false,c903c217a1a8206cdebdab1703b52ec6180edf37
NTY,v0.2.9,2018-04-03T17:59:12Z,false,04f3c6557c02879191a558320ed8ec81f8b2b619
NTc,v0.2.10,2018-04-06T20:23:16Z,false,d2b69fec751d6d11f62019c863b2cba4ce575bfe
NTg,v0.2.11,2018-04-10T21:27:53Z,false,6474647f5210a968d186901cc511153ec442e897
NTk,v0.3.0,2018-04-12T23:17:26Z,false,8a6e64a8ef09f1f1af207725b40022d8d7a9dcd7
NjA,v0.3.1,2018-04-20T06:36:15Z,false,09d05a38912a3c1a906e95099cac9a7e14fae85f
NjE,v0.3.2,2018-04-20T08:02:44Z,false,09d05a38912a3c1a906e95099cac9a7e14fae85f
NjI,v0.3.3,2018-04-21T23:10:39Z,false,cb3376c5dedb71cec7a88b8a8904acc5dd6c6ba1
NjM,v0.3.4,2018-04-24T04:26:51Z,false,ec611470b571c35156723a163fdcacd1f58b1809
